id	image	draft_board	unknown_squares
1	src/assets/diagrams/image1.png	rnbqkb1r/ppp1pppp/1n1p4/4P3/2PP1P2/8/PP4PP/RNBQKBNR	
2	src/assets/diagrams/image2.png	rnbqkb1r/ppp1pp1p/6p1/8/3PP3/2P5/P4PPP/R1BQKBNR	
3	src/assets/diagrams/image3.png	r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R	
4	src/assets/diagrams/image4.png	rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR	
5	src/assets/diagrams/image5.png	?2?kb1r/p2n?ppp/5n2/1B2p1?1/4P3/1?6/PPP2PPP/?1K?3R	a8,d8,e7,g5,b3,a1,d1
6	src/assets/diagrams/image6.png	r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R	
7	src/assets/diagrams/image7.png	r1bqk1?r/pppp1ppp/2n5/2b1p3/2BPP3/2P2N2/P4PPP/RNBQK2R	g8
8	src/assets/diagrams/image8.png	r?bqk??r/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQK??R	b8,f8,g8,f1,g1
9	src/assets/diagrams/image9.png	r?bqk??r/pppp1ppp/8/8/2B1P3/2p5/PP3PPP/RNBQK1?R	b8,f8,g8,g1
10	src/assets/diagrams/image10.png	r1bqk??r/pppp1ppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R	f8,g8
11	src/assets/diagrams/image11.png	r?bqk??r/pp1ppppp/8/2p5/1P2P3/8/P1PP1PPP/RNBQK??R	b8,f8,g8,f1,g1
12	src/assets/diagrams/image12.png	r?bqk??r/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQK??R	b8,f8,g8,f1,g1
13	src/assets/diagrams/image13.png	r?bqk??r/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQK??R	b8,f8,g8,f1,g1
14	src/assets/diagrams/image14.png	r?bqk?1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQK??R	b8,f8,f1,g1
15	src/assets/diagrams/image15.png	r?bqk??r/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQK??R	b8,f8,g8,f1,g1
16	src/assets/diagrams/image16.png	r1bqk??r/pppp2pp/2n5/1B2pp2/4P3/5N2/PPPP1PPP/RNBQK2R	f8,g8
17	src/assets/diagrams/image17.png	r1bq1?k?/2p1bppp/?1n2n2/1p1pp3/4P3/1BP2N2/PP1P1PPP/RNBQ?1K?	f8,h8,a6,e1,h1
18	src/assets/diagrams/image18.png	r?bqk?1r/3ppppp/?4n2/1PpP4/8/8/PP2PPPP/RNBQK??R	b8,f8,a6,f1,g1
19	src/assets/diagrams/image19.png	r?b1k1?r/p2p1ppp/3?4/1pbN1N1?/4P1P1/3P1?2/P?P5/R4???	b8,g8,d6,h5,f3,b2,f1,g1,h1
20	src/assets/diagrams/image20.png	?2?3?/pp2b1?p/8/4?3/4??1?/2pN4/P1P3P1/?5K?	a8,d8,h8,g7,e5,e4,f4,h4,a1,h1
21	src/assets/diagrams/image21.png	????????/????????/????????/????????/????????/????????/????????/????????	a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
22	src/assets/diagrams/image22.png	?6?/p1p2p2/1p1p3?/3Pp1p1/2P1P1P1/1P2P2?/P7/?6?	a8,h8,h6,h3,a1,h1
23	src/assets/diagrams/image23.png	r4?k?/pp1??ppp/1np1p3/3n4/3PN3/3BPN2/PP3PPP/?1?Q1?K?	f8,h8,d7,e7,a1,c1,f1,h1
24	src/assets/diagrams/image24.png	?1?1b2?/pp?1?2p/2p1p2?/2?3p1/3PP1N1/?2B?P1?/1P4P1/?1?3K?	a8,c8,h8,c7,e7,h6,c5,a3,e3,h3,a1,c1,h1
25	src/assets/diagrams/image25.png	?6?/pp3ppp/8/3p4/8/4P3/PP3PPP/?6?	a8,h8,a1,h1
26	src/assets/diagrams/image26.png	r1bq1?k?/p3bppp/1p2pn2/8/1nBP4/2?2N2/PP2?PPP/R1B?2K?	f8,h8,c3,e2,d1,h1
27	src/assets/diagrams/image27.png	r2qk2r/pp2nppp/2nb4/1B1p4/3?2?1/2P2N2/PP3PPP/R1BQ1?K?	d4,g4,f1,h1
28	src/assets/diagrams/image28.png	?6?/8/3p4/4p3/4P3/8/8/?6?	a8,h8,a1,h1
29	src/assets/diagrams/image29.png	r1bqk?1r/pp1p1ppp/2n2n2/4p3/3?P3/2?5/PPP2PPP/R1BQK?1R	f8,d4,c3,f1
30	src/assets/diagrams/image30.png	r4?1?/6pp/1?1p4/?2?p?2/2B5/1PP5/5PPP/R5K?	f8,h8,b6,a5,d5,f5,h1
31	src/assets/diagrams/image31.png	?3?2?/6pp/2?2?2/1?1pp1?1/4?3/1PP3P1/5P1P/R4?K?	a8,e8,h8,c6,f6,b5,g5,e4,f1,h1
32	src/assets/diagrams/image32.png	?6?/1p6/8/8/1P6/8/1P6/?6?	a8,h8,a1,h1
33	src/assets/diagrams/image33.png	?6?/5p2/5p1?/8/1p?2PPP/8/?7/?6?	a8,h8,h6,c4,a2,a1,h1
34	src/assets/diagrams/image34.png	r1b1k??r/1pp2ppp/?1p5/8/3?P3/8/PPP2PPP/RNB1K2R	f8,g8,a6,d4
